gap_duration,contrast,n_flashes,response,rt,subject
49,0.5,2,1,0.73828125,1
0,1,1,0,0.591796875,1
21,0.5,2,1,0.55078125,1
0,0.5,1,0,0.662109375,1
0,1,1,0,0.62109375,1
0,0.5,1,0,0.66015625,1
0,1,1,0,0.6171875,1
0,0.5,1,0,0.705078125,1
42,1,2,1,0.92578125,1
42,0.5,2,1,0.83203125,1
35,0.5,2,1,0.541015625,1
0,1,1,0,0.765625,1
21,1,2,1,1.044921875,1
0,0.5,1,0,0.62109375,1
0,1,1,0,0.794921875,1
0,1,1,0,1.173828125,1
14,1,2,0,0.87890625,1
14,1,2,1,0.73828125,1
0,0.5,1,0,0.591796875,1
0,1,1,0,0.5859375,1
0,1,1,0,0.74609375,1
0,0.5,1,0,0.654296875,1
0,0.5,1,0,0.599609375,1
0,0.5,1,0,0.57421875,1
14,1,2,1,0.66796875,1
0,0.5,1,0,0.576171875,1
0,0.5,1,0,0.791015625,1
0,1,1,0,0.6328125,1
56,0.5,2,1,0.716796875,1
0,1,1,0,0.703125,1
14,0.5,2,0,1.228515625,1
0,0.5,1,0,0.611328125,1
0,1,1,0,0.662109375,1
7,0.5,2,0,0.662109375,1
28,0.5,2,1,0.947265625,1
35,1,2,1,0.875,1
0,0.5,1,0,0.51171875,1
0,0.5,1,0,0.66015625,1
0,0.5,1,0,0.666015625,1
14,0.5,2,1,1.177734375,1
14,1,2,1,0.80859375,1
28,1,2,1,0.728515625,1
0,1,1,0,0.638671875,1
28,1,2,1,0.671875,1
35,0.5,2,1,0.541015625,1
49,1,2,1,0.587890625,1
0,1,1,0,0.689453125,1
0,1,1,0,0.462890625,1
0,0.5,1,0,0.58984375,1
0,0.5,1,0,0.53125,1
0,1,1,0,0.640625,1
0,1,1,0,0.50390625,1
0,1,1,0,0.490234375,1
21,0.5,2,1,0.63671875,1
0,0.5,1,0,0.6875,1
0,1,1,0,0.556640625,1
0,0.5,1,0,0.447265625,1
49,1,2,1,0.7578125,1
56,0.5,2,1,0.640625,1
14,0.5,2,1,0.794921875,1
28,0.5,2,1,0.767578125,1
56,0.5,2,1,0.5859375,1
42,1,2,1,0.521484375,1
0,1,1,0,0.62109375,1
0,1,1,0,0.892578125,1
0,1,1,0,0.640625,1
56,1,2,1,0.791015625,1
0,0.5,1,0,0.75390625,1
0,0.5,1,0,0.755859375,1
0,1,1,0,0.55859375,1
21,1,2,1,0.5859375,1
35,0.5,2,1,0.62890625,1
0,0.5,1,0,0.693359375,1
0,1,1,0,0.546875,1
7,0.5,2,0,0.501953125,1
35,1,2,1,0.51953125,1
0,1,1,0,1.060546875,1
14,0.5,2,0,1.173828125,1
49,0.5,2,1,0.568359375,1
21,0.5,2,1,0.640625,1
0,0.5,1,0,0.869140625,1
0,1,1,0,0.55078125,1
0,0.5,1,0,0.4375,1
7,0.5,2,0,0.501953125,1
0,1,1,0,0.53515625,1
0,1,1,0,0.455078125,1
35,1,2,1,0.9296875,1
21,1,2,1,0.634765625,1
0,0.5,1,0,1.2890625,1
0,0.5,1,0,0.486328125,1
49,1,2,1,0.744140625,1
56,0.5,2,1,0.572265625,1
35,0.5,2,1,0.69921875,1
42,0.5,2,1,1.705078125,1
0,0.5,1,0,0.712890625,1
0,0.5,1,0,0.794921875,1
56,1,2,1,2.24609375,1
0,1,1,0,0.876953125,1
21,1,2,1,0.8046875,1
0,0.5,1,0,0.671875,1
42,1,2,1,1.072265625,1
21,0.5,2,1,0.75,1
21,0.5,2,1,0.765625,1
56,1,2,1,0.744140625,1
28,0.5,2,1,1.02734375,1
0,0.5,1,0,0.583984375,1
21,0.5,2,1,0.80078125,1
0,0.5,1,0,0.708984375,1
28,1,2,1,0.638671875,1
35,0.5,2,1,0.533203125,1
35,1,2,1,0.533203125,1
0,0.5,1,0,0.6484375,1
0,0.5,1,0,0.736328125,1
0,0.5,1,0,0.69921875,1
28,0.5,2,1,0.66796875,1
56,0.5,2,1,0.720703125,1
0,1,1,0,0.78515625,1
35,1,2,1,0.673828125,1
56,1,2,1,0.986328125,1
0,0.5,1,0,0.693359375,1
21,0.5,2,1,0.720703125,1
0,1,1,0,0.609375,1
0,1,1,0,0.80078125,1
42,0.5,2,1,0.81640625,1
14,1,2,1,1.953125,1
0,0.5,1,0,0.5078125,1
0,1,1,0,0.5234375,1
21,1,2,1,0.75,1
0,1,1,0,0.634765625,1
0,1,1,0,0.755859375,1
21,1,2,1,0.580078125,1
0,0.5,1,0,0.529296875,1
56,1,2,1,0.681640625,1
28,1,2,1,0.58203125,1
49,0.5,2,1,0.474609375,1
28,0.5,2,1,0.443359375,1
49,1,2,1,0.50390625,1
21,0.5,2,1,0.505859375,1
0,0.5,1,0,0.931640625,1
7,1,2,0,0.728515625,1
0,0.5,1,0,0.51953125,1
0,1,1,0,0.50390625,1
14,1,2,1,0.77734375,1
42,1,2,1,0.626953125,1
21,1,2,1,0.78515625,1
0,0.5,1,0,0.59765625,1
0,1,1,0,0.68359375,1
0,1,1,0,0.705078125,1
42,0.5,2,1,0.974609375,1
0,0.5,1,0,0.529296875,1
0,0.5,1,0,0.482421875,1
42,1,2,1,0.611328125,1
0,1,1,0,0.501953125,1
0,1,1,0,0.548828125,1
0,1,1,0,0.435546875,1
0,0.5,1,0,0.412109375,1
0,1,1,0,0.38671875,1
0,1,1,0,0.369140625,1
0,1,1,0,0.490234375,1
0,0.5,1,0,0.638671875,1
0,0.5,1,0,0.462890625,1
0,1,1,0,0.5390625,1
